date,name,category,value
"Thursday, March 12, 2020",Algeria,Africa,24
"Friday, March 13, 2020",Algeria,Africa,26
"Saturday, March 14, 2020",Algeria,Africa,37
"Sunday, March 15, 2020",Algeria,Africa,48
"Monday, March 16, 2020",Algeria,Africa,54
"Tuesday, March 17, 2020",Algeria,Africa,60
"Wednesday, March 18, 2020",Algeria,Africa,74
"Thursday, March 19, 2020",Algeria,Africa,87
"Friday, March 20, 2020",Algeria,Africa,90
"Saturday, March 21, 2020",Algeria,Africa,139
"Sunday, March 22, 2020",Algeria,Africa,201
"Monday, March 23, 2020",Algeria,Africa,230
"Tuesday, March 24, 2020",Algeria,Africa,264
"Wednesday, March 25, 2020",Algeria,Africa,302
"Thursday, March 26, 2020",Algeria,Africa,367
"Friday, March 27, 2020",Algeria,Africa,409
"Saturday, March 28, 2020",Algeria,Africa,454
"Sunday, March 29, 2020",Algeria,Africa,511
"Monday, March 30, 2020",Algeria,Africa,584
"Tuesday, March 31, 2020",Algeria,Africa,716
"Wednesday, April 1, 2020",Algeria,Africa,847
"Thursday, April 2, 2020",Algeria,Africa,986
"Friday, April 3, 2020",Algeria,Africa,1171
"Saturday, April 4, 2020",Algeria,Africa,1251
"Sunday, April 5, 2020",Algeria,Africa,1320
"Monday, April 6, 2020",Algeria,Africa,1423
"Tuesday, April 7, 2020",Algeria,Africa,1468
"Wednesday, April 8, 2020",Algeria,Africa,1572
"Thursday, April 9, 2020",Algeria,Africa,1666
"Friday, April 10, 2020",Algeria,Africa,1761
"Saturday, April 11, 2020",Algeria,Africa,1825
"Sunday, April 12, 2020",Algeria,Africa,1914
"Monday, April 13, 2020",Algeria,Africa,1983
"Tuesday, April 14, 2020",Algeria,Africa,2070
"Wednesday, April 15, 2020",Algeria,Africa,2160
"Thursday, April 16, 2020",Algeria,Africa,2268
"Friday, April 17, 2020",Algeria,Africa,2418
"Saturday, April 18, 2020",Algeria,Africa,2534
"Sunday, April 19, 2020",Algeria,Africa,2629
"Monday, April 20, 2020",Algeria,Africa,2718
"Tuesday, April 21, 2020",Algeria,Africa,2811
"Wednesday, April 22, 2020",Algeria,Africa,2910
"Thursday, April 23, 2020",Algeria,Africa,3007
"Friday, April 24, 2020",Algeria,Africa,3127
"Saturday, April 25, 2020",Algeria,Africa,3256
"Sunday, April 26, 2020",Algeria,Africa,3382
"Monday, April 27, 2020",Algeria,Africa,3517
"Tuesday, April 28, 2020",Algeria,Africa,3649
"Wednesday, April 29, 2020",Algeria,Africa,3848
"Thursday, April 30, 2020",Algeria,Africa,4006
"Friday, May 1, 2020",Algeria,Africa,4154
"Saturday, May 2, 2020",Algeria,Africa,4295
"Sunday, May 3, 2020",Algeria,Africa,4474
"Monday, May 4, 2020",Algeria,Africa,4648
"Tuesday, May 5, 2020",Algeria,Africa,4838
"Wednesday, May 6, 2020",Algeria,Africa,4997
"Thursday, May 7, 2020",Algeria,Africa,5182
"Friday, May 8, 2020",Algeria,Africa,5369
"Saturday, May 9, 2020",Algeria,Africa,5558
"Sunday, May 10, 2020",Algeria,Africa,5723
"Monday, May 11, 2020",Algeria,Africa,5891
"Tuesday, May 12, 2020",Algeria,Africa,6067
"Wednesday, May 13, 2020",Algeria,Africa,6253
"Thursday, May 14, 2020",Algeria,Africa,6442
"Friday, May 15, 2020",Algeria,Africa,6629
"Saturday, May 16, 2020",Algeria,Africa,6821
"Sunday, May 17, 2020",Algeria,Africa,7019
